nombre,popularidad,genero,cantidad_albumes,mejor_pista,album_mejor_pista,año_mejor_pista
Leif Ove Andsnes,51,classical,50,"6 Impromptus, Op. 5: Impromptu V",Sibelius,2017
Leif Ove Andsnes,51,chamber music,50,"6 Impromptus, Op. 5: Impromptu V",Sibelius,2017
Wynton Marsalis,50,jazz,50,Where or When,Standard Time Vol. 3: The Resolution Of Romance,1990
Wynton Marsalis,50,latin jazz,50,Where or When,Standard Time Vol. 3: The Resolution Of Romance,1990
Wynton Marsalis,50,big band,50,Where or When,Standard Time Vol. 3: The Resolution Of Romance,1990
Wynton Marsalis,50,cool jazz,50,Where or When,Standard Time Vol. 3: The Resolution Of Romance,1990
Nikolai Rimsky-Korsakov,52,classical,50,Scheherazade: The Tale of the Kalendar Prince,Rimsky-Korsakov: Scheherezade,1999
Nikolai Rimsky-Korsakov,52,orchestra,50,Scheherazade: The Tale of the Kalendar Prince,Rimsky-Korsakov: Scheherezade,1999
Michael Nyman,52,minimalism,50,The Heart Asks Pleasure First / The Promise - Edit,The Piano: Music From The Motion Picture,1993
Michael Nyman,52,classical,50,The Heart Asks Pleasure First / The Promise - Edit,The Piano: Music From The Motion Picture,1993
Samuel Barber,52,classical,50,Barber: Adagio for Strings,Barber: Adagio for Strings,2009
Pietro Mascagni,52,opera,50,Cavalleria rusticana: Intermezzo,Cavalleria rusticana: Intermezzo,2023
Ottorino Respighi,53,classical piano,50,"6 Pezzi, P. 44: No. 6. Internmezzo-serenata",Respighi: Piano Music,1997
Ottorino Respighi,53,classical,50,"6 Pezzi, P. 44: No. 6. Internmezzo-serenata",Respighi: Piano Music,1997
Ottorino Respighi,53,neoclassical,50,"6 Pezzi, P. 44: No. 6. Internmezzo-serenata",Respighi: Piano Music,1997
Bertrand Chamayou,52,classical piano,23,"Ravel: Pavane pour une infante défunte, M. 19",Ravel: Complete Works for Solo Piano,2016
Bertrand Chamayou,52,classical,23,"Ravel: Pavane pour une infante défunte, M. 19",Ravel: Complete Works for Solo Piano,2016
Caleb Burhans,55,ambient,7,Magnificat,Caleb Burhans: Evensong,2013
Caleb Burhans,55,minimalism,7,Magnificat,Caleb Burhans: Evensong,2013
Caleb Burhans,55,neoclassical,7,Magnificat,Caleb Burhans: Evensong,2013
Caleb Burhans,55,drone,7,Magnificat,Caleb Burhans: Evensong,2013
Brigitte Engerer,48,classical,22,"Nocturne in C-sharp minor, B. 49",Chopin: Complete Nocturnes,2010
Brigitte Engerer,48,classical piano,22,"Nocturne in C-sharp minor, B. 49",Chopin: Complete Nocturnes,2010
René Jacobs,50,opera,50,"Le nozze di Figaro, K. 492: Sinfonia",Mozart: Le nozze di Figaro,2004
René Jacobs,50,classical,50,"Le nozze di Figaro, K. 492: Sinfonia",Mozart: Le nozze di Figaro,2004
Sir Colin Davis,53,opera,50,Requiem: II. Dies Irae,Verdi: Requiem,2009
Sir Colin Davis,53,classical,50,Requiem: II. Dies Irae,Verdi: Requiem,2009
Sir Colin Davis,53,requiem,50,Requiem: II. Dies Irae,Verdi: Requiem,2009
Sir Colin Davis,53,orchestra,50,Requiem: II. Dies Irae,Verdi: Requiem,2009
Ton Koopman,53,classical,50,"Wachet auf, ruft uns die Stimme, BWV 645","""Les Plaisirs"" - Baroque Masterpieces",2025
Domenico Scarlatti,52,classical piano,50,"Keyboard Sonata in D Minor, Kk. 9","Scarlatti, D.: Sonatas",1992
Domenico Scarlatti,52,classical,50,"Keyboard Sonata in D Minor, Kk. 9","Scarlatti, D.: Sonatas",1992
Maria João Pires,51,classical piano,50,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio","Mozart: Piano Sonatas K.309, K.332 & K.570",1991
Maria João Pires,51,classical,50,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio","Mozart: Piano Sonatas K.309, K.332 & K.570",1991
Maria João Pires,51,chamber music,50,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio","Mozart: Piano Sonatas K.309, K.332 & K.570",1991
Montserrat Caballé,49,opera,50,Barcelona,Messenger Of The Gods: The Singles Collection,2016
Karl Böhm,52,opera,50,"Le nozze di Figaro, K. 492, Act III: No. 21, Sull' aria... Che soave zeffiretto ""Letter Duet""",Mozart: Le nozze di Figaro,1968
Karl Böhm,52,classical,50,"Le nozze di Figaro, K. 492, Act III: No. 21, Sull' aria... Che soave zeffiretto ""Letter Duet""",Mozart: Le nozze di Figaro,1968
Benjamin Frith,52,classical piano,37,Nocturne No. 2 in C Minor,"Field: Piano Music, Vol. 1",1999
Benjamin Frith,52,classical,37,Nocturne No. 2 in C Minor,"Field: Piano Music, Vol. 1",1999
Pascal Rogé,51,classical piano,50,"Le Carnaval des Animaux, R. 125: 13. Le Cygne",Saint-Saëns: Le Carnaval des Animaux; Phaéton; Danse Macabre etc.,1980
Pascal Rogé,51,classical,50,"Le Carnaval des Animaux, R. 125: 13. Le Cygne",Saint-Saëns: Le Carnaval des Animaux; Phaéton; Danse Macabre etc.,1980
Concerto Köln,48,opera,50,"Le nozze di Figaro, K. 492: Sinfonia",Mozart: Le nozze di Figaro,2004
Concerto Köln,48,classical,50,"Le nozze di Figaro, K. 492: Sinfonia",Mozart: Le nozze di Figaro,2004
Vladimir Horowitz,51,classical piano,50,"Kinderszenen, Op. 15: No. 1, Von fremden Ländern und Menschen",Schumann: Kinderszenen; Arabesque; Fantasie; Träumerei,1962
Vladimir Horowitz,51,classical,50,"Kinderszenen, Op. 15: No. 1, Von fremden Ländern und Menschen",Schumann: Kinderszenen; Arabesque; Fantasie; Träumerei,1962
Alexander Scriabin,52,classical piano,50,"Scriabin: 24 Preludes, Op. 11: No. 21 in B-Flat Major",Scriabin: 24 Preludes - Sonatas Nos. 4 & 10,1997
Alexander Scriabin,52,classical,50,"Scriabin: 24 Preludes, Op. 11: No. 21 in B-Flat Major",Scriabin: 24 Preludes - Sonatas Nos. 4 & 10,1997
Renaud Capuçon,50,chamber music,50,"Gabriel's Oboe (From ""The Mission"")",Cinema,2018
Renaud Capuçon,50,classical,50,"Gabriel's Oboe (From ""The Mission"")",Cinema,2018
Chilly Gonzales,51,neoclassical,29,Csárdás,Gypsic,2010
Gaetano Donizetti,49,opera,50,"L'elisir d'amore / Act II: ""Una furtiva lagrima""",Donizetti: The Elixir of Love,1990
Dave Brubeck,51,jazz,50,Take Five,I Like Jazz: The Essence Of Dave Brubeck,1991
Dave Brubeck,51,cool jazz,50,Take Five,I Like Jazz: The Essence Of Dave Brubeck,1991
Symphony X,47,progressive metal,10,Without You,Underworld,2015
Symphony X,47,power metal,10,Without You,Underworld,2015
Symphony X,47,symphonic metal,10,Without You,Underworld,2015
Symphony X,47,progressive rock,10,Without You,Underworld,2015
Symphony X,47,melodic metal,10,Without You,Underworld,2015
Symphony X,47,metal,10,Without You,Underworld,2015
Symphony X,47,neoclassical,10,Without You,Underworld,2015
Symphony X,47,speed metal,10,Without You,Underworld,2015
Orchester der Deutschen Oper Berlin,49,opera,50,"Nabucco / Act III: Va, pensiero, sull'ali dorate",Verdi: Nabucco,1983
Orchester der Deutschen Oper Berlin,49,classical,50,"Nabucco / Act III: Va, pensiero, sull'ali dorate",Verdi: Nabucco,1983
Orchester der Deutschen Oper Berlin,49,orchestra,50,"Nabucco / Act III: Va, pensiero, sull'ali dorate",Verdi: Nabucco,1983
London Mozart Players,50,classical,50,"Piano Concerto No. 21 in C Major, K. 467: II. Andante","Mozart: Piano Concertos, Vol. 6",1995
Charles Gounod,51,opera,50,Ave Maria,Songs from the Arc of Life,2015
Luigi Boccherini,51,classical,50,"Boccherini: String Quintet in E Major, Op. 11 No. 5, G. 275: III. Minuetto - Trio (Arr. Woodhouse for String Orchestra)",Mozart: Academy in Concert,1986
Antal Doráti,50,classical,50,"The Sleeping Beauty, Op. 66, Act I: No. 6, Valse ""Garland Dance""",Tchaikovsky: The Sleeping Beauty,1981
Antal Doráti,50,opera,50,"The Sleeping Beauty, Op. 66, Act I: No. 6, Valse ""Garland Dance""",Tchaikovsky: The Sleeping Beauty,1981
Antal Doráti,50,orchestra,50,"The Sleeping Beauty, Op. 66, Act I: No. 6, Valse ""Garland Dance""",Tchaikovsky: The Sleeping Beauty,1981
John Rutter,53,choral,50,The Lord bless you and keep you,Be Thou My Vision - Sacred Music by John Rutter,2004
John Rutter,53,christmas,50,The Lord bless you and keep you,Be Thou My Vision - Sacred Music by John Rutter,2004
Igor Stravinsky,51,classical,50,The Firebird (L'oiseau De Feu) - Suite (1919): Finale,Stravinsky: The Firebird (Ballet Suite),2009
Igor Stravinsky,51,neoclassical,50,The Firebird (L'oiseau De Feu) - Suite (1919): Finale,Stravinsky: The Firebird (Ballet Suite),2009
Igor Stravinsky,51,orchestra,50,The Firebird (L'oiseau De Feu) - Suite (1919): Finale,Stravinsky: The Firebird (Ballet Suite),2009
Krystian Zimerman,51,classical piano,27,"Piano Concerto in G Major, M. 83: II. Adagio assai",Ravel: Piano Concertos; Valses nobles et sentimentales,1998
Krystian Zimerman,51,classical,27,"Piano Concerto in G Major, M. 83: II. Adagio assai",Ravel: Piano Concertos; Valses nobles et sentimentales,1998
Martin Jones,51,classical,50,"Clair de Lune, L. 32",Debussy: Clair De Lune and Other Piano Favourites,1994
Martin Jones,51,classical piano,50,"Clair de Lune, L. 32",Debussy: Clair De Lune and Other Piano Favourites,1994
Modest Mussorgsky,51,orchestra,50,Memories of a Promenade II,Flying Pictures at an Exhibition,2019
Modest Mussorgsky,51,classical,50,Memories of a Promenade II,Flying Pictures at an Exhibition,2019
Gewandhausorchester,51,classical,50,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile",Beethoven: Symphony No.9,2011
Gewandhausorchester,51,orchestra,50,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile",Beethoven: Symphony No.9,2011
Yuja Wang,51,classical piano,25,"Orfeo ed Euridice, Wq. 30: Dance of the Blessed Spirits ""Melody"" (Arr. Sgambati for Piano)",Fantasia,2012
Yuja Wang,51,classical,25,"Orfeo ed Euridice, Wq. 30: Dance of the Blessed Spirits ""Melody"" (Arr. Sgambati for Piano)",Fantasia,2012
Arthur Rubinstein,50,classical piano,50,"Nocturnes, Op. 27: No. 2 in D-Flat Major",Chopin: Nocturnes - Sony Classical Originals,1965
Arthur Rubinstein,50,classical,50,"Nocturnes, Op. 27: No. 2 in D-Flat Major",Chopin: Nocturnes - Sony Classical Originals,1965
Benjamin Grosvenor,51,classical piano,9,"Nocturne No. 19 in E Minor, Op. 72, No. 1",Celebration of Chopin: Encore!,2024
Benjamin Grosvenor,51,classical,9,"Nocturne No. 19 in E Minor, Op. 72, No. 1",Celebration of Chopin: Encore!,2024
Nikolai Lugansky,50,classical piano,44,"Rachmaninov: 10 Preludes, Op. 23: No. 5 in G Minor",Rachmaninov : Preludes Op.23 & Moments musicaux,2001
Nikolai Lugansky,50,classical,44,"Rachmaninov: 10 Preludes, Op. 23: No. 5 in G Minor",Rachmaninov : Preludes Op.23 & Moments musicaux,2001
Staatskapelle Dresden,50,opera,50,Les Contes d'Hoffmann / Act 4: Entr'acte (Barcarolle),Overtures & Intermezzi,1985
Staatskapelle Dresden,50,classical,50,Les Contes d'Hoffmann / Act 4: Entr'acte (Barcarolle),Overtures & Intermezzi,1985
Staatskapelle Dresden,50,orchestra,50,Les Contes d'Hoffmann / Act 4: Entr'acte (Barcarolle),Overtures & Intermezzi,1985
Dame Joan Sutherland,47,opera,50,La traviata / Act 1: Libiamo ne'lieti calici,Verdi: La Traviata,1980
Dame Joan Sutherland,47,classical,50,La traviata / Act 1: Libiamo ne'lieti calici,Verdi: La Traviata,1980
Akira Kosemura,52,japanese classical,30,Fallen Flowers,SEASONS,2023
Akira Kosemura,52,neoclassical,30,Fallen Flowers,SEASONS,2023
